サークル名,会場,スペース,ジャンル,description
nannou,二展１階,う-40b,［音楽］ロック,カテゴライズされない独自の世界観を創造し、聴く者を夢と現実の狭間へと誘う。美しく魔術的な旋律を奏でるギターに、時に内省的、時に激情を顕にした透き通った穢れない歌声がのる。
SOUTH OF HEAVEN,二展１階,う-41ab,［音楽］ロック,主にラウドロック、メタルのオリジナル楽曲を中心に活動してます。東方project等のアレンジ楽曲も作っております。
project MIK ʼ s T e a,二展１階,う-42ab,［音楽］ロック,2023年に始動したクリエイター集団による新プロジェクト！ 第3弾の今回は純ロックをテーマにしたミニアルバムにゲストを迎えて制作。過去作品を合わせてぜひ手に取っていただけたらと思います。
Acute Strings,二展１階,え-01a,［音楽］ロック,ポストロック、インストロックを主体に活動するAdanのソロバンド
狂奏楽団,二展１階,え-01b,［音楽］ロック,オリジナル、女性ツインヴォーカル、プログレ・ゴシックメタル系バンド音楽。ギターベースドラム生音録音
Ghost Cries,二展１階,え-02a,［音楽］ロック,女性ボーカルのシンフォニック・デスメタルバンドです。
asnomi studio,二展１階,え-02b,［音楽］ロック,約2年分の楽曲をまとめた軽快な歌モノギターロックアルバムを頒布します。シンセサイザーV小春六花と夏色花梨も使ってます。
the Grail of Sics,二展１階,え-03ab,［音楽］ロック,GOTHIC/Symphonicメタルコアバンド the Grail of Sics 重々しいメタルコアサウンドと、壮厳なオーケストレーションの楽曲に 叙情的な歌が重なり、単なるゴシックの世界には収まらない独自の陰鬱世界へ導いてゆく。
ヌンチャクゴリラ,二展１階,え-04a,［音楽］ロック,こじらせ系ギターロックインスト
Lekphjunokia,二展１階,え-04b,［音楽］ロック,"トランスシンセ、四つ打ち、男女ボーカル入りメロディックデスメタル。中の人はDisarmonia Mundi, Blood Stain Child, Edge of Sanityなどが好き。"
distortion clear,二展１階,え-05a,［音楽］ロック,ラウド&ポップなギターサウンドがウリです！
Pendulum Pandemonium,二展１階,え-05b,［音楽］ロック,4名のコンポーザーによるメタルサークル。メロデスをベースにプログレ、メタルコア、ブラックと多彩なジャンルを取り込んだエクストリームメタルを発信。
Trouveres,二展１階,え-06ab,［音楽］ロック,剣と魔法と勇者のメロディ。男女ツインVoによる熱く麗しい戦いを貴方に。V系メタルプロジェクトzellosの委託もあります
SoundstorM,二展１階,え-07a,［音楽］ロック,「重く・激しく・美しく」をコンセプトに歌モノ・インストを問わず楽曲制作しています。音声合成ソフト「SynthesizerV」を用いたシンフォニックメタル、DnB、デジロックを頒布予定です(ポップな作品もございます！)
INVASION OF SOLITUDE RECORDS,二展１階,え-07b,［音楽］ロック,"孤高のヘヴィ・メタル・ウォーリアー""ロード・メタル""による独りメタル・プロジェクトのCD販売！メロディック・デス・メタル、デス・メタル、ブラック・メタル系統強めです！"
-LostFairy-,二展１階,え-08ab,［音楽］ロック,異世界「エル・ナ・ディア 」での幻想を「物語」と「楽曲」で表現。 ゴシック・シンフォニック・ダークメルヘンを主軸とした、バンドサウンドながらも幅広い作風が特徴。Vtuber「フラン・エクレール」もここ。
楓楽舎,二展１階,え-09a,［音楽］ロック,‪仙台を拠点に活動している音楽サークル「楓楽舎」です！Rock、Pops、アキシブ、デンパ、メタル、造語コーラス等、さまざまなジャンルの曲を作っています。
Poly ★ Planet,二展１階,え-09b,［音楽］ロック,バンドサウンドの切ない系のロックな楽曲を作っています。
R ʼ sFactory,二展１階,え-10ab,［音楽］ロック,"VOCALOIDやSynthVを用いてメタル・ラウド系の音楽を作ってます。
今回のM3では過去作全て持ち込みます
新規頒布ははじめましての方も、いつも買ってくださってる方も両方楽しめるように、過去曲のRemix数曲を収録したサンプルCDを無償頒布予定(諸々間に合えばEPくらい出すかも…？🤔)
持ってないCDあったら買ってくれると嬉しいです！"
Tokyo.MeltiMelt,二展１階,え-11a,［音楽］ロック,Japanese GoSick Visual Metal
int. 音と君と。,二展１階,え-11b,［音楽］ロック,それでも僕は、ロキノンロックが好きなんです。
Elymusia,二展１階,え-12a,［音楽］ロック,物語音楽やゴシックロックなど
foreteller,二展１階,え-12b,［音楽］ロック,ロックを軸に様々な音楽を融合させた、静と動のあるコンセプト作品を制作しています。
mu-ma.,二展１階,え-13ab,［音楽］ロック,飯能のことを紹介できます。
ALICETOPIA,二展１階,え-14ab,［音楽］ロック,ダークファンタジーをコンセプトとする注目の若手メロディック・メタルバンド！メロディアスかつキャッチーな楽曲にVo.Minami Mariaの唯一無二の歌声をのせたサウンドは聴く者を魅了する！
葉月ゆら,二展１階,え-15ab,［音楽］ポップス,ゴシック・ダークメルヘン・民族風楽曲を好んで制作しております(´▽｀*)　宜しくお願いします。
TEMPLIME,二展１階,え-16ab,［音楽］テクノ・クラブ,おしゃかわポップの音楽ユニットTEMPLIMEです！２年ぶりにM３に出ます！
ナカムラ書房×華力発電所,二展１階,え-17a,［音楽］ロック,テクノ&テクノ&ロック&テクノポップ　本屋と発電所が前代未聞の業務提携、開陳！
Suicidal Ideation,二展１階,え-17b,［音楽］ロック,DSBM(デプレッシブブラックメタル)やってます。新規プロジェクトデモを配布します。
もちもちうさぎパレード,二展１階,え-18a,［音楽］ロック,合成音声とうるさいギター。ロックです　たぶん。
ヨルガタアキラ,二展１階,え-18b,［音楽］ロック,初参加の正統派邦ロッククリエイター、ヨルガタアキラの朝は遅い─────。 初参加で彼は何もわかっていない─────。
主謀者翔馬,二展１階,え-19a,［音楽］ロック,演説+音楽を融合させた作品を制作し、頒布します。
phrilli,二展１階,え-19b,［音楽］ロック,” あの頃の感情に帰るような自由な音楽”をコンセプトに、ロック・アニソン・ポップス・パンク・メタルなどのジャンルを取り入れた楽曲を制作しています。
貝と佈気楼,二展１階,え-20a,［音楽］ロック,バーチャルとリアルを接続する、轟音系オルタナティブ・ヘヴィ・ロックバンド。
Sea Chicken,二展１階,え-23b,［音楽］ロック,「心の葛藤」と「無意識への気づき」をテーマにしたオルタナティブロック(歌声はきりたん&めろう)です！よろしくお願いします！
東京都立大学 TMU 作曲サークル,二展１階,え-24z,［マルチメディア］その他ノンジャンル,東京都立大学　TMU作曲サークルです！今年初参加です！メンバーの力作を収録しているアルバムを是非！
バンド組もうぜ！,二展１階,お-01a,［音楽］ロック,バンドメンバーを募集するために参加させていただきました！もしCD聴いて良いやんってなった人は気軽に連絡してください！！！！
THE CAMELLS,二展１階,お-01b,［音楽］ロック,都内を中心に活動中のロックバンドです。X(旧Twitter)@THECAMELLS
GlariZ,二展１階,お-02a,［音楽］ロック,アニソン等をドゥームメタル・ドローンメタルアレンジした作品の音源を頒布しているサークルです。
IGM 生楽器ゲーム音楽,二展１階,お-02b,［音楽］ロック,個人でゲームの戦闘時に流れているようなロックテイストのBGMを中心に制作しています！ ギター、ベース、ドラム、ストリングスは生楽器を使用しています。 今回初参加ですが是非お立ち寄りください！！！
享楽屋,二展１階,お-03ab,［音楽］ロック,自主音楽レーベル「享楽屋」。　眼鏡仕掛けの四重奏「Cartilage」や、すこやかパンクバンド「しにぞこナイツ」などのCDをリリース。サブスク配信・イベント運営なども行っております。
スペース NINJA,二展１階,お-04ab,［音楽］ロック,厳しい戦いの末、地獄の軍団の魔の手からサイバーシティを救ったスペースNINJA達。しかし安心も束の間、地獄の軍団は遂に全宇宙への侵略を開始した！彼奴等の野望を阻止するため、戦え！スペースNINJA！
PHANTOM,二展１階,お-05a,［音楽］ロック,VRロックバンド「PHANTOM」です！
StrollZ,二展１階,お-05b,［音楽］ロック,VRChatで活動しているサックスプレイヤーざっくとピアニストしあのによるインストユニットStrollZです
METALITY UNITED,二展１階,お-06a,［音楽］ロック,メタバース生まれのメタルバンドです！シンフォニックメロディックパワーメタル！！！
503 bad gateway,二展１階,お-06b,［音楽］ロック,熱く燃え滾るグラムメタル/メロディックハードをメインに、みなさまの活動のモチベーションをブチ上げる楽曲をお届けしています！
猫のちゃび,二展１階,お-07a,［音楽］ロック,すみだはなが描く「猫のちゃび」に、田村一哉の音楽を乗せて「ミニアルバム」をお届け
CATCH ME YESTERDAY,二展１階,お-07b,［音楽］ロック,制作・録音・編集・映像なんでもDIYロックバンド。SNSフォロワー累計1.7万。2024年アブダビアニメフェス、2023年フィリピンフェス、2022年サウジアラビアフェスに3回出演。2025も海外ツアー予定。
atsusix project,二展１階,お-08a,［音楽］ロック,ギタリスト&コンポーザーatsusix(アツシックス)によるソロプロジェクト。悲哀に満ちたオルタナティブヘビーロック。
EVILLEN,二展１階,お-08b,［音楽］ロック,外国人ヴォーカリストを起用したフルアルバムにて活動開始。エピック・モダン ヘヴィーロックやシンフォニックメタル、エレクトロなこだわりの EVILLEN サウンドを展開。
452 番 街,二展１階,お-09a,［音楽］ロック,ベースサイボーグMYKという名前で動画活動していた人が歌モノの作品を作ります
チョモランマ学園生徒会,二展１階,お-09b,［音楽］ロック,＜優れた筋肉は世界を統べる――＞筋肉擬人化×美少女をテーマにした架空アニメ「ますらぶっ！」の楽曲CDを頒布いたします。聴けばムキムキ間違いなし！！ぜひお越しください！
青木工務店,二展１階,お-10x,［音楽］ポップス,"青木""syun""俊明が、色々なアーティストとコラボしていくシリーズ。今回は、一体誰とコラボするのかな"
PINPURI.COM,二展１階,お-10y,［音楽］ポップス,渋谷発の音楽レーベル「ピンプリ」は、プリクラをテーマにしたアートワークを特徴とし、新世代のギャルミュージックを創作しています。所属：まーちりん（MAAACHIRIN）、ちいざろっく！
第 4 代プランクトン,二展１階,お-10z,［音楽］ポップス,ぜんぜんわからない　俺たちは雰囲気でDTMをやっている
御園まひな ＆ Project Rio Salado,二展１階,お-11x,［音楽］ポップス,ニコニコ、YouTubeで歌ったり、作曲している御園まひなと、YouTubeにオリジナル曲をアップしているProject Rio Saladoの合同出展です。ポップで少しダークな世界観のオリジナル曲を作っています。
にこごり,二展１階,お-11y,［音楽］ポップス,多ジャンルのコンピレーションアルバムを頒布予定です。全作品に重たい感情が乗っている予定です。
Pollaid,二展１階,お-11z,［音楽］ポップス,女性ボーカルのアニソンは音域高くて歌うの大変じゃないですか？ちょうどいい曲があります。
Studio Shoebill,二展１階,お-12x,［音楽］ポップス,M3出展2回目です、今回はSynthsizer VのPOPYちゃんと一緒にいろんな方や音楽に出会えることを楽しみにしてます！
buchi,二展１階,お-12y,［音楽］ポップス,石川県金沢市でシティポップ系のボカロ曲作ってま〜す
Kei Morimoto,二展１階,お-12z,［音楽］ポップス,Future Bassやエレクトロポップ系の楽曲をメインに発表しています！
広瀬プロモーション,二展１階,お-13x,［音響］ドラマ・トーク（放送劇・声優等）,初参加！大正ロマンな執事喫茶のボイスドラマを頒布します！
追求型モノ語リ劇場【Lyco】,二展１階,お-13y,［音響］ドラマ・トーク（放送劇・声優等）,現役シナリオライター2名による、本格派ボイスドラマ制作サークルです。記念すべき1st作品では、あなたを和風ポストアポカリプス世界へと誘います――。
まるみふぁくとりぃ,二展１階,お-13z,［音響］ドラマ・トーク（放送劇・声優等）,『働く青年』を建前におじさんだらけのボイスドラマ作ってます。基本コメディ。ブロマンスにうぶ毛が生えた程度のBLも有ります。
soba,二展１階,お-14x,［マルチメディア］ハードウエア・楽譜・書籍,"64パッドで遊べる、新しいシンセ体験。
ちょっと変わった演奏スタイルを体感してください!"
作田恒星,二展１階,お-14y,［アニメ・ゲーム］VOCALOID,UTAUなどの広義ボカロでポップスを作ってます．発表済み曲を収録したアルバムを頒布します．
せきうさてしぐさ,二展１階,お-14z,［アニメ・ゲーム］VOCALOID,音楽的同位体『星界』ちゃんのラップです。韻がタイトです。
SENONLTS,二展１階,お-15x,［アニメ・ゲーム］VOCALOID,ボカロCDを数種類用意しています。（ミク・ラピス・IA）
ばにらくらぶ,二展１階,お-15z,［アニメ・ゲーム］VOCALOID,アイスはバニラが最強にして至高
スノードーム,二展１階,お-16x,［アニメ・ゲーム］VOCALOID,夏っぽい歌！
sawend,二展１階,お-16y,［アニメ・ゲーム］VOCALOID,今年はGUMI（Synthesizer V）で覚醒をテーマにしたミニアルバムを頒布します。
涓滴會,二展２階,キ-05a,［音楽］クラシック・ジャズ・環境音楽等,本格的な物語音楽を主戦場とするサークルです、興味のある方は是非遊びに来てくださいね
Lilyane,二展２階,キ-05b,［音楽］クラシック・ジャズ・環境音楽等,＊春新譜あり　瑞々しい果実の想いは、甘い春を彩って。＊　民族音楽×Lilyane。 ファンタジー×メルヘン、女性ボーカルデュエットを添えて。
帝国音楽堂＆日本共産堂,二展２階,キ-06ab,［音楽］クラシック・ジャズ・環境音楽等,軍歌・革命歌・鉄道音楽アレンジCDを頒布します。新譜あります！
小笠原幸子,二展２階,キ-07a,［音楽］クラシック・ジャズ・環境音楽等,"ジャズピアニスト,作曲家＜Jazz Pianist,Composer,jazz live,recording,host＞東京在住 2021年〜筑西JAZZ講師&定期240名規模コンサート,TVCM曲"
いたずら書きのメロディ,二展２階,キ-07b,［音楽］クラシック・ジャズ・環境音楽等,フルート×ピアノのポップインストユニットです。オリジナル曲のミニアルバムを頒布します！
FIRST AVENUE STUDIO 戸 塚,二展２階,コ-28ab,［音楽］ポップス,横浜市戸塚の古い音楽スタジオ＆小さなライブハウスの出店です。地域の音楽家たちの作品を持っていく予定です。ノンジャンル。ライブの出演者も募集しています。
ゲキヤバゲキカワギャング,二展２階,コ-29ab,［音楽］ポップス,ゲキヤバで、ゲキカワな、クラブミュージック、ベースミュージックを行っています。
mixi2・DTMer ズ,二展２階,コ-30ab,［音楽］ポップス,できたてホヤホヤSNS｢mixi2｣、サービス開始直後にコンピ結成！！
Aerial Notes,二展２階,コ-31a,［音楽］ポップス,VTuber × Composer の音楽ユニットです。 アニソンをルーツに様々な要素を取り入れた楽曲と、可愛さと透明感のある歌声で独特な世界観をお届けします。
Petite Chanela,二展２階,コ-31b,［音楽］ポップス,『小さな猫と天使の物語』 初参加！水色大好き、猫天使ユニットの『Petite Chanela / ぷてぃ・しゃねら』です！童話をモチーフに1st ミニアルバムを制作しました！セラフィーとむむ猫による新人歌い手ユニットです！
牛満刻,二展２階,コ-32a,［音楽］ポップス,お久しぶりです
τ l レ,二展２階,コ-32b,［音楽］ポップス,ひねくれたポップス作ります
泉の庭ちゃんぷるー,二展２階,コ-33a,［音楽］ポップス,民族調・和風・EDM・シンフォニックロック等ジャンルは様々なファンタジックな音楽を作っています。
踊ル音楽家,二展２階,コ-33b,［音楽］ポップス,”春らしくない”という理由で今年お箱入りになっていたゆめみ☆デスゲーム、ついに登場！
wagataki,二展２階,コ-34a,［音楽］ポップス,ピアノ系のインストを中心に制作しています！
水魚みぃむ,二展２階,コ-34b,［音楽］ポップス,水音の世界からやってきた歌姫研修生vtuber。オリジナル曲や歌ってみた動画を発表してます。フランスで開催されたイベントに参加したり、NHK-FMさんの番組「ぶいあーる！」で紹介されたり日々頑張ってます！
ろいた,二展２階,コ-35a,［音楽］ポップス,"""異なる惑星で生まれた2人の少女が惑星に迫る危機に立ち向かう"" 架空のアニメ「双星の約束」をテーマにしたアニソンポップスを扱っております。 ゲストボーカルを迎えたEP(全8曲)を頒布予定です。"
| MO2RE 〉,二展２階,コ-35b,［音楽］ポップス,音と音、人と人、様々な「もつれ」を探索する音楽プロジェクト。 アレンジャー soniol とベーシスト anmangichi を中心に展開。
ラフニ,二展２階,コ-36a,［音楽］ポップス,”浸れるひとときを 求めるひとたちへ” 特定のコンセプトを基に複数のクリエイターが1つの作品を作り上げます
louviq:,二展２階,コ-36b,［音楽］ポップス,シングルコイルのギターと繊細かつ迫力のあるボーカルが織り成す「エモーショナルなバンドサウンド」が特徴の2人組ユニットです。
夢乃ゆき,二展２階,サ-01a,［音楽］ポップス,女性ボーカル、オリジナル楽曲を頒布しています！
FROZEN QUALIA,二展２階,サ-01b,［音楽］ポップス,コンポーザーkazukiとボーカルyukiによる音楽プロジェクトです。
ゆめやさん,二展２階,サ-02a,［音楽］ポップス,シンガートラックメイカーかききまなみのプロジェクトです。ノスタルジックホラーでダークのなかに懐かしさを込めた歌詞と幼なげな歌声の楽曲です。
るなほしショップ,二展２階,サ-02b,［音楽］ポップス,声優・歌手・登山家 るなっち☆ほしのCD屋さん。チップチューンや電波ソング多めです。
アートモバイル,二展２階,サ-03a,［音楽］ポップス,自称音楽家です。宅録系シンガーソングライター、時々ボカロ。
OVERTASK,二展２階,サ-03b,［音楽］ポップス,架空劇判ユニット、OVERTASKが手掛けるチップチューン！
A little bit,二展２階,サ-04a,［音楽］ポップス,女性ボーカル・後藤ハルキがオシャレでジャジーなオリジナルＣＤを制作しているサークル。新作あります！
幼蚕文庫と Bigbird,二展２階,サ-04b,［音楽］ポップス,浮森かや子とオッカです。届くようで届かないようなどこか懐かしく、様々な曲を作っています。
cyan slime,二展２階,サ-05a,［音楽］ポップス,名古屋発2人組クリエイティブユニット「cyan slime」 Vtuberをボーカルに取り入れたオルタナティブ・ポップス楽曲をリリース
futuristic sounds,二展２階,サ-05b,［音楽］ポップス,名古屋から世界へ届けたい音楽がある。
きゅいきゅいすたー,二展２階,サ-06a,［音楽］ポップス,ツインボーカルユニットのきゅいきゅいすたーです！ユニットとしての2枚目のアルバムを出します！まよりの2枚目のソロアルバムもリリース予定です！可愛いミュージックを皆さんにお届けします♪
サクラのいろは,二展２階,サ-06b,［音楽］ポップス,～春夏秋冬の和風楽曲をお届けします～
RICORA MUSIC TEAM,二展２階,サ-07a,［音楽］ポップス,東京理科大学DTMサークルRICORAです。よろしくお願いします！
東京理科大学情報技術クラブ ITC,二展２階,サ-07b,［音楽］ポップス,"現役理系大学生が作った楽曲CDを頒布します！テーマは""Innocence""。純真、潔白、無邪気、天真爛漫…などなど、何を表現するのかは部員たち次第！"
Stellar Trills,二展２階,サ-08a,［音楽］ポップス,アニソンゲーソンを魂に刻んだバンドマン3人によるサークルです！ アルバム毎にテーマを決めて、多様な音楽を展開していきます♪
みけねこれこーど☆,二展２階,サ-08b,［音楽］ポップス,かわいいエナジー系電波ソング出ます！！
地獄のべくちゃん,二展２階,サ-09a,［音楽］ポップス,超弩級サブカルシンガー「べくちゃん」と、超敏腕プロデューサー「地獄イヌ」による新進気鋭の音楽サークル ！！独特の世界観あふれる楽曲に、あなたもきっとアッと驚く為五郎！！
Fence Break Heaters,二展２階,サ-09b,［音楽］ポップス,ギターボーカル・ベース・ドラムと異なるバックグラウンドを持つ三人が三者三様のポップな楽曲を誠意作成しています。
Airycraft ◇,二展２階,サ-10a,［音楽］ポップス,道南から、優しい音の物語をお届け
ペラペラポミッタ,二展２階,サ-10b,［音楽］ポップス,また変な曲を作りたいと思います。よろしくお願いします。
有坂愛海,二展２階,サ-11a,［音楽］ポップス,ロリータシンガーソングライター有坂愛海です！新譜予定！
175 LABO,二展２階,サ-11b,［音楽］ポップス,豊島区千川に新規オープンしたレコーディングスタジオ「175LABO」の音楽サークルです。代表でありベーシストである稲子渾身のアルバム、ぜひお聞きください！
めもん,二展２階,シ-12a,［アニメ・ゲーム］VOCALOID,VOCALOIDやSynthVなどの合成音声楽曲のCDを頒布します！最新作はシンセガンガン系の曲が多いです！よろしくお願いします！！
inubue,二展２階,シ-12b,［アニメ・ゲーム］VOCALOID,感傷ロックすこすこ委員会です。ピアノとギターのロックを星界氏に歌っていただきました。
芹井産業,二展２階,シ-13a,［アニメ・ゲーム］VOCALOID,コンピレーションアルバム、グッズ販売など
ゆめのおもちゃ箱,二展２階,シ-13b,［アニメ・ゲーム］VOCALOID,ピンクでかわいい曲を作るサークルです。今回も新譜を持って参ります。ゆめひつじ (ボカロP) となぎれ (ボーカル) が現地でお待ちしております！
MIG,二展２階,シ-14a,［アニメ・ゲーム］VOCALOID,synthesizer V やVocaloidで曲を作っています
土曜日の友達,二展２階,シ-14b,［アニメ・ゲーム］VOCALOID,頑張ります！
car.ess,二展２階,シ-15a,［アニメ・ゲーム］VOCALOID,128BPMオンリーのボーカルシンセ（ボカロ、シンセV、CeVIOなど）クラブミュージックアルバム「red parade」を出す予定です。ジャンルはElectro SwingやProgressive Houseなど概ねハウスなのです！
くたくた製作所,二展２階,シ-15b,［アニメ・ゲーム］VOCALOID,VOCALOIDでロックな曲を作ってますが、最近はタッパーエフェクターとかケーブルとか大量に作ってます。
Sincerely Syncopation,二展２階,シ-16a,［アニメ・ゲーム］VOCALOID,"ボカロP「ねこぜなおとこ」と申します。
VOCALOIDでロックやってます！
今回は履歴書型の新アルバムを出します！
楽曲もとてもクオリティが上がり、楽しく聴いていただけると思います。
ぜひ遊びに来てください！"
バターサンド,二展２階,シ-16b,［アニメ・ゲーム］VOCALOID,ボカロP。シューゲイザー、シティポップ 、ローファイミュージックなどにインスパイアされたサウンドと内省的なリリックで青春における愛と孤独を唱う。
ジュニ P,二展２階,シ-17a,［アニメ・ゲーム］VOCALOID,初参加です。私はアメリカ出身で現在東京在住のボーカロイド・プロデューサーです。
ムラミィ,二展２階,シ-17b,［アニメ・ゲーム］VOCALOID,初めまして、ムラミィです。前回とは違った趣向でロックに攻めます！変わらず青い感じは入ってると思います。よろしくお願いします！
兔子航空,二展２階,シ-18a,［アニメ・ゲーム］VOCALOID,萌え×エレクトロな音楽を作ってます！フューチャーファンクのエッセンスが好きな人に！
Coyuki,二展２階,シ-18b,［アニメ・ゲーム］VOCALOID,kawaii&popなボカロ曲を作ってます！
Salicylic Records,二展２階,シ-19a,［アニメ・ゲーム］VOCALOID,ロック&エレクトロを取り入れた躁鬱ボカロ・合成音声アルバムを頒布します。
竹馬あお,二展２階,シ-19b,［アニメ・ゲーム］VOCALOID,四季折々を描く宮舞モカ×ボカエレクトロEP「でぃじたる・もかちーの！」を頒布します！他にも旧譜として夏曲合成音声アルバム「SummerNotFoundException」やボカロックアルバム「産声、滲んだきみの青」など。
IOR,二展２階,シ-20a,［アニメ・ゲーム］VOCALOID,独自の質感を追求する電子音楽サークル
AzureHead,二展２階,シ-20b,［アニメ・ゲーム］VOCALOID,AzureHead 1st VOCALOID アルバム『Good Morning Azure Delusion』実在する心理障害と幻想活動Maladaptive daydreaming（不適応空想）に基づき、幻想世界へ落ちる少年少女の物語を描く音楽企画。
Bassy,二展２階,シ-21ab,［音楽］ポップス,bassyのサークルです。NyaronsとU3NEKOもこちらです。
Lunatic ★ Melody,二展２階,シ-22ab,［音楽］ポップス,ボーカル「月乃」の個人サークル「Lunatic★Melody」ジャジーで妖艶な系楽曲の新譜を頒布します！まさかの月乃の男ボイス「月斗」とのデュエットも！？
Losstime Life,二展２階,シ-23ab,［音楽］ポップス,音楽ユニットLosstime Lifeです。新譜作ります！
少女理論観測所,二展２階,シ-24a,［音楽］ポップス,基本女性ボーカル、稀に男性ボーカルのポップス・ロック系楽曲。お洒落なコードと踊れるビート、ソリッドなギターが特徴。普段は主に東方アレンジを作っていますがM3ではオリジナルをリリースしたいです。
鈴 湯,二展２階,シ-24b,［音楽］ポップス,アニメソング・ゲームソングを歌う鈴湯が主催する物語音楽サークルです。”映画を見るように聴く”をコンセプトに音楽制作をしています。
Last Labyrinth,二展２階,シ-25ab,［音楽］テクノ・クラブ,新作EP出します！
Massive CircleZ,二展２階,シ-26a,［音楽］テクノ・クラブ,ハードスタイルを作っています
UOM Records,二展２階,シ-26b,［音楽］テクノ・クラブ,音楽を作ります。
LapiLapi 石原けいこの時空を旅する音楽,二展２階,シ-27a,［音楽］クラシック・ジャズ・環境音楽等,「時空を旅する音楽」をテーマに、幻想的でどこか懐かしい音楽を作っています。今まで宝石、森、世界の遺跡等をテーマにした作品を作ってきました。民族音楽や中世の音楽に影響をうけたインストと女性ボーカルです。
iuuy 屋さん,二展２階,シ-27b,［音楽］クラシック・ジャズ・環境音楽等,"「体にいいアルパカ」所属, iuuy 初の個人サークルです! フュージョンやプログレ, エレクトロ, 歌モノが好きです! 初参加でとても緊張しています! よろしくお願いします!"
進捗いかがですか ?,二展２階,シ-28a,［音楽］クラシック・ジャズ・環境音楽等,制作に完成無し、あるのはただ期日のみ！！進捗、いかがですか！！！
Melefiele,二展２階,シ-28b,［音楽］クラシック・ジャズ・環境音楽等,ストーリー性を持った楽曲に、ソプラノ・アルトのハーモニーをプラスしたパフォーマンスが特徴のデュオユニット。
NNN 企 画,二展２階,シ-29a,［音楽］クラシック・ジャズ・環境音楽等,“シンセと生を合成した音楽の隙間表現を追求し、DTMでそれを実現していく電脳バンド”です。主にインスト作品を作っています。
rakia,二展２階,シ-29b,［音楽］クラシック・ジャズ・環境音楽等,"叙情性伴うハーモニー及びメロディセンスを特徴とするプロデューサー塚原啓のソロプロジェクトrakia。
様々なゲストヴォーカリストを迎えピュアで哀愁漂うエレクトロニックサウンドは唯一無二である。
この度M3に於いてこれまでのアルバム群を集結させる。"
アイルズ,二展２階,シ-30a,［音楽］クラシック・ジャズ・環境音楽等,オリジナルファンタジーボーカル中心。ボーカリスト「aoi」「三崎遙か」作曲家「桜葉」イラストレーター「Minami Hiroto」それぞれの世界観をふんだんに詰め込んだ作品をお届けしています。
ぼう神社,二展２階,シ-30b,［音楽］クラシック・ジャズ・環境音楽等,オリジナル音源のアルバム頒布予定
djgenki.net,二展２階,シ-31a,［音楽］テクノ・クラブ,新作出します。
かめるかめりあ,二展２階,シ-31b,［音楽］テクノ・クラブ,作曲家かめりあの制作した作品を頒布する個人サークルです。「核融合発電ができる曲」を目指しています
Greatoaks Music,二展２階,シ-32a,［アニメ・ゲーム］音ゲー,影虎。(Kagetora.)による個人音楽サークルです。主に音楽ゲームの楽曲やPsychedelic Tranceから影響を受けた楽曲を制作しています。
DROP FREVKER,二展２階,シ-32b,［アニメ・ゲーム］音ゲー,アーティスト「Getty」のオリジナルCDなどを頒布するサークルです。
フーリンキャットマーク,二展２階,シ-33ab,［音楽］ポップス,「オシャレ&カワイイ」がコンセプトのアキシブ系musicを制作しています。渋谷系やJazz、Cty pop等が好きな人は絶対に刺さる音楽です。
WINDVOICE,二展２階,シ-34ab,［音楽］ポップス,妖怪アイドルユニット「妖サウンズ！」和風ポップな新作あります！
Seardrop,二展２階,シ-35ab,［音楽］ポップス,女性ボーカル「Sennzai」の個人サークルです。ロック・ダーク・クラシック・ゴシック・民族、EDMまで様々なジャンルの楽曲を歌っています。
HYPRFLVX,二展２階,シ-36a,［音楽］テクノ・クラブ,DJ Norikenの個人サークルです！ハードコアとかハードダンスとか作ります！
瓶底眼鏡女子同盟,二展２階,シ-36b,［音楽］テクノ・クラブ,サークルが運営するトランスパーティ「Stratosphere」発のリリースを予定しています。
Daruma Rave,二展２階,シ-37a,［音楽］テクノ・クラブ,Srav3R主催のサークルDaruma Raveです
DJ Myosuke,二展２階,シ-37b,［音楽］テクノ・クラブ,DJ Myosukeが何か出す
HARDCORE TANO ＊ C,二展２階,シ-38a,［音楽］テクノ・クラブ,ハードコアテクノをつくります
C.H.S,二展２階,シ-38b,［音楽］テクノ・クラブ,t+pazolite(とぱぞらいと)による個人サークルです
IOSYS,二展２階,シ-39a,［音楽］テクノ・クラブ,インターネット老人会を代表する老舗の音楽サークルやらしてもらってます！
Notebook Records,二展２階,シ-39b,［音楽］テクノ・クラブ,RoughSketchによるレーベルです。新作を出します！出したい！
i,My Records,一展,Ｍ 10a,
RyuTatsukiMusic,,一展,Ｇ 03b,
うたうみずうみ。／千梨,カタログ,藍-01,［音楽］クラシック・ジャズ・環境音楽等,ファンタジー系のフリーBGMや物語音楽を頒布中。童話・伝承チックな雰囲気。シングルCD『ファントム・テイル -幻影譚-』頒布します！YouTubeで試聴できるのでぜひ聞いてみてくださいね！
カモのみぞれ煮,カタログ,藍-02,［音楽］クラシック・ジャズ・環境音楽等,「カモのみぞれ煮」の清白カモ(大根ダック)と申します 主にフリーBGMなどをYoutubeに投稿、Boothで頒布しています 1ヶ月に1～２曲を目途に投稿・頒布中！ 作成傾向：ポップス、ジャズ、EDM、戦闘曲など
